instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1500-C,1500.0000,62.3307,,,1.0000,doesnt exist,
ETH-23MAY25-1500-P,1500.0000,62.3307,,,0.8337,doesnt exist,
ETH-23MAY25-2600-P,2600.0000,80.6251,,,1.0000,doesnt exist,
ETH-23MAY25-2600-C,2600.0000,80.6251,,,1.0000,doesnt exist,
ETH-23MAY25-3000-P,3000.0000,101.7025,,,1.0000,doesnt exist,
ETH-23MAY25-3000-C,3000.0000,101.7025,,,1.0000,doesnt exist,
BTC-23MAY25-50000-C,50000.0000,160.3735,,,1.0000,doesnt exist,
BTC-23MAY25-50000-P,50000.0000,160.3735,,,0.5310,doesnt exist,
BTC-23MAY25-200000-C,200000.0000,193.6400,,,1.0000,doesnt exist,
BTC-23MAY25-200000-P,200000.0000,193.6400,,,1.0000,doesnt exist,
