instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,3.0000,0.7611,0.0003,0.2293,0.2261,0.0032
ETH-23MAY25-1400-P,1400.0000,3.0000,-0.2389,0.0003,0.0037,0.0037,0.0000
ETH-23MAY25-1600-C,1600.0000,3.0000,0.6924,0.0003,0.1283,0.1243,0.0040
ETH-23MAY25-1600-P,1600.0000,3.0000,-0.3076,0.0003,0.0130,0.013,0.0000
ETH-23MAY25-1700-P,1700.0000,3.0000,-0.3414,0.0003,0.0263,0.0263,-0.0000
ETH-23MAY25-1700-C,1700.0000,3.0000,0.6586,0.0003,0.0830,0.0822,0.0008
ETH-23MAY25-1750-P,1750.0000,3.0000,-0.3581,0.0003,0.0363,0.0366,-0.0003
ETH-23MAY25-1750-C,1750.0000,3.0000,0.6419,0.0003,0.0653,0.0647,0.0006
ETH-23MAY25-1800-P,1800.0000,3.0000,-0.3745,0.0003,0.0493,0.0496,-0.0003
ETH-23MAY25-1800-C,1800.0000,3.0000,0.6255,0.0003,0.0503,0.0499,0.0004
ETH-23MAY25-1850-P,1850.0000,3.0000,-0.3908,0.0003,0.0653,0.0655,-0.0002
ETH-23MAY25-1850-C,1850.0000,3.0000,0.6092,0.0003,0.0383,0.038,0.0003
ETH-23MAY25-1900-P,1900.0000,3.0000,-0.4067,0.0003,0.0880,0.0838,0.0042
ETH-23MAY25-1900-C,1900.0000,3.0000,0.5933,0.0003,0.0288,0.0285,0.0003
ETH-23MAY25-1950-P,1950.0000,3.0000,-0.4225,0.0003,0.1131,0.1044,0.0087
ETH-23MAY25-1950-C,1950.0000,3.0000,0.5775,0.0003,0.0218,0.0213,0.0005
ETH-23MAY25-2000-P,2000.0000,3.0000,-0.4379,0.0003,0.1331,0.1267,0.0064
ETH-23MAY25-2000-C,2000.0000,3.0000,0.5621,0.0003,0.0163,0.0159,0.0004
ETH-23MAY25-2100-C,2100.0000,3.0000,0.5321,0.0003,0.0093,0.0089,0.0004
ETH-23MAY25-2100-P,2100.0000,3.0000,-0.4679,0.0003,0.1814,0.1753,0.0061
ETH-23MAY25-2200-C,2200.0000,3.0000,0.5034,0.0003,0.0053,0.0052,0.0001
ETH-23MAY25-2200-P,2200.0000,3.0000,-0.4966,0.0003,0.2335,0.2271,0.0064
ETH-23MAY25-2400-P,2400.0000,3.0000,-0.5504,0.0003,0.4907,0.335,0.1557
ETH-23MAY25-2400-C,2400.0000,3.0000,0.4498,0.0003,0.0021,0.0021,-0.0000
BTC-23MAY25-75000-C,75000.0000,3.0000,0.7500,0.0000,0.2227,0.2064,0.0163
BTC-23MAY25-75000-P,75000.0000,3.0000,-0.2500,0.0000,0.0014,0.0012,0.0002
BTC-23MAY25-80000-C,80000.0000,3.0000,0.7171,0.0000,0.1754,0.1545,0.0209
BTC-23MAY25-80000-P,80000.0000,3.0000,-0.2828,0.0000,0.0027,0.0023,0.0004
BTC-23MAY25-85000-P,85000.0000,3.0000,-0.3155,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-85000-C,85000.0000,3.0000,0.6845,0.0000,0.1301,0.105,0.0251
BTC-23MAY25-88000-C,88000.0000,3.0000,0.6651,0.0000,0.1046,0.0782,0.0264
BTC-23MAY25-88000-P,88000.0000,3.0000,-0.3349,0.0000,0.0109,0.0107,0.0002
BTC-23MAY25-90000-P,90000.0000,3.0000,-0.3477,0.0000,0.0158,0.016,-0.0002
